date,session_key,meeting_key,driver_number,position
2023-03-05T15:10:50.086000+00:00,7953,1141,2,12
2023-03-05T15:10:50.086000+00:00,7953,1141,4,13
2023-03-05T15:10:54.867000+00:00,7953,1141,4,12
2023-03-05T15:10:54.867000+00:00,7953,1141,2,13
2023-03-05T15:18:56.983000+00:00,7953,1141,21,18
2023-03-05T15:18:56.983000+00:00,7953,1141,10,19
2023-03-05T15:19:03.718000+00:00,7953,1141,20,19
2023-03-05T15:19:03.718000+00:00,7953,1141,10,20
2023-03-05T15:20:32.560000+00:00,7953,1141,4,13
2023-03-05T15:20:32.560000+00:00,7953,1141,2,12
2023-03-05T15:20:41.356000+00:00,7953,1141,27,16
2023-03-05T15:20:41.356000+00:00,7953,1141,4,14
2023-03-05T15:20:41.356000+00:00,7953,1141,22,15
2023-03-05T15:20:41.356000+00:00,7953,1141,81,13
2023-03-05T15:20:41.419000+00:00,7953,1141,27,14
2023-03-05T15:20:41.419000+00:00,7953,1141,4,15
2023-03-05T15:20:41.419000+00:00,7953,1141,22,16
2023-03-05T15:20:41.981000+00:00,7953,1141,4,16
2023-03-05T15:20:41.981000+00:00,7953,1141,24,15
2023-03-05T15:20:41.981000+00:00,7953,1141,22,17
2023-03-05T15:20:43.497000+00:00,7953,1141,4,17
2023-03-05T15:20:43.497000+00:00,7953,1141,22,18
2023-03-05T15:20:43.497000+00:00,7953,1141,21,16
2023-03-05T15:20:45.434000+00:00,7953,1141,4,18
2023-03-05T15:20:45.434000+00:00,7953,1141,22,19
2023-03-05T15:20:45.434000+00:00,7953,1141,20,17
2023-03-05T15:20:59.590000+00:00,7953,1141,4,19
2023-03-05T15:20:59.590000+00:00,7953,1141,22,18
2023-03-05T15:21:06.590000+00:00,7953,1141,4,20
2023-03-05T15:21:06.590000+00:00,7953,1141,10,19
2023-03-05T15:21:43.293000+00:00,7953,1141,27,15
2023-03-05T15:21:43.293000+00:00,7953,1141,24,14
2023-03-05T15:22:13.949000+00:00,7953,1141,31,9
2023-03-05T15:22:13.949000+00:00,7953,1141,77,10
2023-03-05T15:22:14.152000+00:00,7953,1141,23,12
2023-03-05T15:22:14.152000+00:00,7953,1141,2,11
2023-03-05T15:22:18.917000+00:00,7953,1141,77,11
2023-03-05T15:22:18.917000+00:00,7953,1141,2,10
2023-03-05T15:22:22.667000+00:00,7953,1141,27,16
2023-03-05T15:22:22.667000+00:00,7953,1141,4,20
2023-03-05T15:22:22.667000+00:00,7953,1141,22,18
2023-03-05T15:22:22.667000+00:00,7953,1141,20,15
2023-03-05T15:22:22.667000+00:00,7953,1141,10,19
2023-03-05T15:22:22.667000+00:00,7953,1141,21,17
2023-03-05T15:22:23.042000+00:00,7953,1141,77,12
